ActionName,Dir1,Dir2,Dir3,TransformClass,TransformX,TransformY,TransformZ,Offset1,Flash1.1,Flash1.2,Offset2,Flash2.1,Flash2.2,Offset3,Flash3.1,Flash3.2,LoopSTART,LoopEND
sonja_XS,20161211-131805_DESKTOP-1PKUO67,20161211-131808_DESKTOP-987VO32,20161211-131805_TARDIS2,1_loop,0,0,0,-1.1,no flash,no flash,-1.43,no flash,no flash,1.51,no flash,no flash,1.51,23.79
roman_XS,20161211-154948_DESKTOP-1PKUO67,20161211-154951_DESKTOP-987VO32,20161211-154949_TARDIS2,1_loop,0.02,0,0.02,0.09,4.01,4.91,-0.04,3.88,4.78,0,3.92,4.82,4.89,51.97
sonja_S1,20161211-125554_DESKTOP-1PKUO67,20161211-125557_DESKTOP-987VO32,20161211-125555_TARDIS2,1_loop,0.03,0,0.05,0.9,8.2,9.33,0.82,8.12,9.25,0,7.29,8.44,10.45,130.36
sonja_S2,20161211-132333_DESKTOP-1PKUO67,20161211-132336_DESKTOP-987VO32,20161211-132334_TARDIS2,1_loop,0,0,0,0.08,2.73,3.96,0,2.65,3.88,0,2.65,3.88,9.3,138.41
roman_S,20161211-153155_DESKTOP-1PKUO67,20161211-153159_DESKTOP-987VO32,20161211-153156_TARDIS2,1_loop,0.01,0,-0.01,0.04,2.2,4.24,0,2.17,4.19,0,2.16,4.2,4.26,70.83
roman_M_hands,20161211-165201_DESKTOP-1PKUO67,20161211-165205_DESKTOP-987VO32,20161211-165202_TARDIS2,1_loop,-0.09,0,0.08,-0.225,5.09,5.66,0,5.32,5.88,0,5.32,5.88,6.95,82.92
roman_M_floor1,20161211-154720_DESKTOP-1PKUO67,20161211-154724_DESKTOP-987VO32,20161211-154721_TARDIS2,2_no loop,0.01,0,0.03,0.05,7.16,8.19,-0.005,7.09,8.15,0,7.11,8.14,9,67.62
roman_M_floor2,20161211-184358_DESKTOP-1PKUO67,20161211-184402_DESKTOP-987VO32,20161211-184359_TARDIS2,2_no loop,-0.19,0,0.19,0.07,5.78,6.45,0.01,5.73,6.4,0,5.75,6.38,10.54,79.13
roman_M_transition,20161211-154052_DESKTOP-1PKUO67,20161211-154056_DESKTOP-987VO32,20161211-154053_TARDIS2,2_no loop,0,0,0,0.085,7.05,7.58,0.015,6.98,7.51,0,6.96,7.5,8.83,65.77
duet_M,20161211-131124_DESKTOP-1PKUO67,20161211-131127_DESKTOP-987VO32,20161211-131124_TARDIS2,2_no loop,0,0,0,0.315,5.19,6.72,0.245,5.12,6.65,0,4.87,6.41,6.47,136.19
sonja_L1,20161211-130001_DESKTOP-1PKUO67,20161211-130004_DESKTOP-987VO32,20161211-130001_TARDIS2,2_no loop,0,0,0,0.08,2.59,4.49,0.01,2.52,4.42,0,2.51,4.41,12,130.36
sonja_L2,20161211-132810_DESKTOP-1PKUO67,20161211-132813_DESKTOP-987VO32,20161211-132810_TARDIS2,2_no loop,0,0,0,0.09,4.31,6.24,0.03,4.25,6.18,0,4.22,6.15,13,131.98
roman_L,20161211-194419_DESKTOP-1PKUO67,20161211-194422_DESKTOP-987VO32,20161211-194419_TARDIS2,2_no loop,0,0,0,0.01,8.52,8.95,0.03,8.54,8.97,0,8.51,8.94,9.92,84.48
roman_M_floor_rolling1,20161211-195656_DESKTOP-1PKUO67,20161211-195701_DESKTOP-987VO32,20161211-195656_TARDIS2,3_loop infinite,0.58,0,-0.77,0.03,6,6.87,-1.825,4.15,5.01,0,5.97,6.84,21.6292,22.8492
roman_M_floor_rolling2,20161211-195656_DESKTOP-1PKUO67,20161211-195701_DESKTOP-987VO32,20161211-195656_TARDIS2,3_loop infinite,-0.59,0,0.8,0.03,6,6.87,-1.825,4.15,5.01,0,5.97,6.84,24.7845,25.7245
roman_S_floor_sideways,20161211-173056_DESKTOP-1PKUO67,20161211-173100_DESKTOP-987VO32,20161211-173057_TARDIS2,3_loop infinite,0.21,0,-0.31,0.045,2.83,4.13,0.02,2.79,4.12,0,2.77,4.1,19.7276,28.03
roman_M_walking1,20161211-173815_DESKTOP-1PKUO67,20161211-173819_DESKTOP-987VO32,20161211-173816_TARDIS2,3_loop infinite,1.13,0,0.63,-0.145,3.13,3.5,0.01,3.82,3.12,0,3.11,3.81,7.14,8.27
roman_M_walking2,20161211-173815_DESKTOP-1PKUO67,20161211-173819_DESKTOP-987VO32,20161211-173816_TARDIS2,3_loop infinite,-1,0,-0.55,-0.145,3.13,3.5,0.01,3.82,3.12,0,3.11,3.81,13.01,14.37
sonja_M_walking1,20161211-134759_DESKTOP-1PKUO67,20161211-134812_DESKTOP-987VO32,20161211-134800_TARDIS2,3_loop infinite,1.18,0,0.72,,,,,,,0,13.52,14.92,18.48,19.44
sonja_M_walking2,20161211-134759_DESKTOP-1PKUO67,20161211-134812_DESKTOP-987VO32,20161211-134800_TARDIS2,3_loop infinite,-1.3,0,-0.71,,,,,,,0,13.52,14.92,135.52,136.62
